#Bottom-up search
#2022-1-30 13:56:42 --  seed: 1646168895 	max_stride: auto (2%) 	arc_start: -2 	arc_end: -2 	closure: H
# index Adet_1 Adet_2	 start end length
237 	3 7	3_1	 131 365 234 	
238 	3 7	3_1	 138 365 227 	
239 	3 7	3_1	 142 371 229 	
240 	3 7	3_1	 142 363 221 	
241 	3 7	3_1	 154 357 203 	
242 	3 7	3_1	 170 375 205 	
243 	3 7	3_1	 163 367 204 	
244 	3 7	3_1	 171 362 191 	
245 	3 7	3_1	 161 362 201 	
246 	3 7	3_1	 158 354 196 	
247 	3 7	3_1	 158 361 203 	
248 	3 7	3_1	 170 361 191 		3 7	3_1	 177 368 191 	
249 	3 7	3_1	 170 356 186 	
250 	3 7	3_1	 173 360 187 	
251 	3 7	3_1	 175 372 197 		3 7	3_1	 183 380 197 	
252 	3 7	3_1	 174 381 207 	
253 	3 7	3_1	 184 370 186 	
254 	3 7	3_1	 184 390 206 	
255 	3 7	3_1	 172 386 214 	
256 	3 7	3_1	 182 396 214 	
257 	3 7	3_1	 173 385 212 	
258 	3 7	3_1	 173 393 220 	
259 	3 7	3_1	 171 387 216 	
260 	3 7	3_1	 167 390 223 	
261 	3 7	3_1	 172 385 213 	
262 	3 7	3_1	 170 385 215 	
263 	3 7	3_1	 176 382 206 	
264 	3 7	3_1	 177 385 208 	
265 	3 7	3_1	 166 392 226 	
266 	3 7	3_1	 170 387 217 	
267 	3 7	3_1	 177 385 208 	
268 	3 7	3_1	 164 381 217 	
269 	3 7	3_1	 168 383 215 	
270 	3 7	3_1	 168 388 220 	
271 	3 7	3_1	 173 385 212 	
272 	3 7	3_1	 168 387 219 	
273 	3 7	3_1	 171 385 214 	
274 	3 7	3_1	 163 380 217 	
275 	3 7	3_1	 163 383 220 	
276 	3 7	3_1	 161 377 216 	
277 	3 7	3_1	 168 371 203 	
278 	3 7	3_1	 177 378 201 	
279 	3 7	3_1	 166 377 211 	
280 	3 7	3_1	 168 377 209 	
281 	3 7	3_1	 163 381 218 	
282 	3 7	3_1	 163 382 219 	
283 	3 7	3_1	 170 384 214 	
284 	3 7	3_1	 160 393 233 	
285 	3 7	3_1	 163 389 226 	
286 	3 7	3_1	 153 386 233 	
287 	3 7	3_1	 168 390 222 	
288 	3 7	3_1	 161 397 236 	
289 	3 7	3_1	 164 385 221 	
290 	3 7	3_1	 165 389 224 	
291 	3 7	3_1	 165 389 224 	
292 	3 7	3_1	 163 382 219 	
293 	3 7	3_1	 158 391 233 	
294 	3 7	3_1	 168 393 225 	
295 	3 7	3_1	 166 402 236 	
296 	3 7	3_1	 158 392 234 	
297 	3 7	3_1	 176 400 224 	
298 	3 7	3_1	 176 405 229 	
299 	3 7	3_1	 172 400 228 	
300 	3 7	3_1	 162 383 221 	
301 	3 7	3_1	 163 396 233 	
302 	3 7	3_1	 167 389 222 	
303 	3 7	3_1	 171 398 227 	
304 	3 7	3_1	 166 390 224 	
305 	3 7	3_1	 165 385 220 	
306 	3 7	3_1	 156 389 233 	
307 	3 7	3_1	 155 394 239 	
308 	3 7	3_1	 164 390 226 	
309 	3 7	3_1	 161 392 231 	
310 	3 7	3_1	 154 391 237 	
311 	3 7	3_1	 155 389 234 	
312 	3 7	3_1	 164 389 225 	
313 	3 7	3_1	 169 389 220 	
314 	3 7	3_1	 169 382 213 	
315 	3 7	3_1	 159 378 219 	
316 	3 7	3_1	 166 377 211 	
317 	3 7	3_1	 164 380 216 	
318 	3 7	3_1	 177 392 215 	
319 	3 7	3_1	 173 387 214 	
320 	3 7	3_1	 184 391 207 	
321 	3 7	3_1	 179 389 210 	
322 	3 7	3_1	 176 392 216 	
323 	3 7	3_1	 180 388 208 	
324 	3 7	3_1	 181 396 215 	
325 	3 7	3_1	 179 388 209 	
326 	3 7	3_1	 169 385 216 	
327 	3 7	3_1	 177 386 209 	
328 	3 7	3_1	 165 378 213 	
329 	3 7	3_1	 167 380 213 	
330 	3 7	3_1	 169 378 209 	
331 	3 7	3_1	 168 381 213 	
332 	3 7	3_1	 163 381 218 	
333 	3 7	3_1	 167 381 214 	
334 	3 7	3_1	 173 383 210 	
335 	3 7	3_1	 174 379 205 	
336 	3 7	3_1	 178 377 199 	
337 	3 7	3_1	 172 387 215 	
338 	3 7	3_1	 170 399 229 	
339 	3 7	3_1	 183 388 205 	
340 	3 7	3_1	 184 386 202 	
341 	3 7	3_1	 187 392 205 	
342 	3 7	3_1	 183 389 206 	
343 	3 7	3_1	 178 400 222 	
344 	3 7	3_1	 183 394 211 	
345 	3 7	3_1	 180 393 213 	
346 	3 7	3_1	 187 389 202 	
347 	3 7	3_1	 188 381 193 	
348 	3 7	3_1	 196 376 180 	
349 	3 7	3_1	 189 372 183 	
350 	3 7	3_1	 193 375 182 	
351 	3 7	3_1	 189 373 184 	
352 	3 7	3_1	 192 370 178 	
353 	3 7	3_1	 188 374 186 	
354 	3 7	3_1	 197 383 186 	
355 	3 7	3_1	 191 376 185 	
356 	3 7	3_1	 190 390 200 	
357 	3 7	3_1	 187 385 198 	
358 	3 7	3_1	 182 378 196 	
359 	3 7	3_1	 182 370 188 	
360 	3 7	3_1	 181 379 198 	
361 	3 7	3_1	 185 377 192 	
362 	3 7	3_1	 187 371 184 	
363 	3 7	3_1	 191 369 178 	
364 	3 7	3_1	 181 373 192 	
365 	3 7	3_1	 191 396 205 	
366 	3 7	3_1	 190 377 187 	
367 	3 7	3_1	 183 378 195 	
368 	3 7	3_1	 187 374 187 	
369 	3 7	3_1	 184 387 203 	
370 	3 7	3_1	 178 406 228 	
371 	3 7	3_1	 180 403 223 	
372 	3 7	3_1	 184 397 213 	
373 	3 7	3_1	 182 398 216 	
374 	3 7	3_1	 172 403 231 	
375 	3 7	3_1	 178 402 224 	
376 	3 7	3_1	 182 391 209 	
377 	3 7	3_1	 181 396 215 	
378 	3 7	3_1	 173 387 214 	
379 	3 7	3_1	 179 400 221 	
380 	3 7	3_1	 176 410 234 	
381 	3 7	3_1	 172 404 232 	
382 	3 7	3_1	 169 392 223 	
383 	3 7	3_1	 157 390 233 	
384 	3 7	3_1	 174 392 218 	
385 	3 7	3_1	 162 394 232 	
386 	3 7	3_1	 169 394 225 	
387 	3 7	3_1	 170 398 228 	
388 	3 7	3_1	 168 388 220 	
389 	3 7	3_1	 172 388 216 	
390 	3 7	3_1	 170 389 219 	
391 	3 7	3_1	 169 379 210 	
392 	3 7	3_1	 165 381 216 	
393 	3 7	3_1	 164 384 220 	
394 	3 7	3_1	 180 394 214 	
395 	3 7	3_1	 176 387 211 	
396 	3 7	3_1	 182 393 211 		3 7	3_1	 191 402 211 	
397 	3 7	3_1	 179 395 216 	
398 	3 7	3_1	 191 400 209 	
399 	3 7	3_1	 192 412 220 	
400 	3 7	3_1	 185 394 209 	
401 	3 7	3_1	 192 411 219 	
402 	3 7	3_1	 176 401 225 	
403 	3 7	3_1	 178 395 217 	
404 	3 7	3_1	 184 394 210 	
405 	3 7	3_1	 188 387 199 	
406 	3 7	3_1	 180 397 217 	
407 	3 7	3_1	 180 393 213 	
408 	3 7	3_1	 177 389 212 	
409 	3 7	3_1	 170 393 223 	
410 	3 7	3_1	 184 389 205 	
411 	3 7	3_1	 180 385 205 	
412 	3 7	3_1	 177 392 215 	
413 	3 7	3_1	 177 388 211 	
414 	3 7	3_1	 185 398 213 	
415 	3 7	3_1	 178 387 209 	
416 	3 7	3_1	 178 396 218 	
417 	3 7	3_1	 178 399 221 	
418 	3 7	3_1	 172 399 227 	
419 	3 7	3_1	 174 400 226 	
420 	3 7	3_1	 169 409 240 	
421 	3 7	3_1	 171 409 238 	
422 	3 7	3_1	 173 402 229 	
423 	3 7	3_1	 182 390 208 	
424 	3 7	3_1	 178 394 216 	
425 	3 7	3_1	 172 396 224 	
426 	3 7	3_1	 175 403 228 	
427 	3 7	3_1	 176 402 226 	
428 	3 7	3_1	 175 405 230 	
429 	3 7	3_1	 170 415 245 	
430 	3 7	3_1	 179 416 237 	
431 	3 7	3_1	 174 419 245 	
432 	3 7	3_1	 176 419 243 	
433 	3 7	3_1	 175 410 235 	
434 	3 7	3_1	 177 411 234 	
435 	3 7	3_1	 181 391 210 	
436 	3 7	3_1	 177 396 219 	
437 	3 7	3_1	 183 401 218 	
438 	3 7	3_1	 182 408 226 	
439 	3 7	3_1	 184 399 215 	
440 	3 7	3_1	 188 408 220 	
441 	3 7	3_1	 186 405 219 	
442 	3 7	3_1	 176 403 227 	
443 	3 7	3_1	 172 393 221 	
444 	3 7	3_1	 184 401 217 	
445 	3 7	3_1	 179 391 212 	
446 	3 7	3_1	 177 388 211 		3 7	3_1	 185 396 211 	
447 	3 7	3_1	 181 401 220 	
448 	3 7	3_1	 180 406 226 	
449 	3 7	3_1	 176 394 218 	
450 	3 7	3_1	 178 403 225 	
451 	3 7	3_1	 178 404 226 	
452 	3 7	3_1	 174 404 230 	
453 	3 7	3_1	 172 416 244 	
454 	3 7	3_1	 184 398 214 	
455 	3 7	3_1	 194 402 208 	
456 	3 7	3_1	 183 404 221 	
457 	3 7	3_1	 178 401 223 	
458 	3 7	3_1	 181 399 218 	
459 	3 7	3_1	 181 393 212 	
460 	3 7	3_1	 180 400 220 	
461 	3 7	3_1	 178 397 219 	
462 	3 7	3_1	 177 397 220 	
463 	3 7	3_1	 183 404 221 	
464 	3 7	3_1	 195 409 214 	
465 	3 7	3_1	 309 420 111 	
466 	3 7	3_1	 203 411 208 	
467 	3 7	3_1	 203 396 193 	
468 	3 7	3_1	 203 403 200 	
469 	3 7	3_1	 203 406 203 	
470 	3 7	3_1	 194 415 221 	
471 	3 7	3_1	 191 389 198 	
472 	3 7	3_1	 203 401 198 	
473 	3 7	3_1	 208 396 188 	
474 	3 7	3_1	 206 407 201 	
475 	3 7	3_1	 209 398 189 	
476 	3 7	3_1	 193 403 210 	
477 	3 7	3_1	 195 396 201 	
478 	3 7	3_1	 205 399 194 	
479 	3 7	3_1	 201 403 202 	
480 	3 7	3_1	 200 405 205 	
481 	3 7	3_1	 200 411 211 	
482 	3 7	3_1	 194 412 218 	
483 	3 7	3_1	 194 413 219 	
484 	3 7	3_1	 187 409 222 	
485 	3 7	3_1	 194 411 217 	
486 	3 7	3_1	 198 422 224 	
487 	3 7	3_1	 202 417 215 	
488 	3 7	3_1	 205 405 200 	
489 	3 7	3_1	 201 415 214 	
490 	3 7	3_1	 208 417 209 	
491 	3 7	3_1	 222 421 199 	
492 	3 7	3_1	 214 414 200 	
493 	3 7	3_1	 218 420 202 	
494 	3 7	3_1	 225 410 185 	
495 	3 7	3_1	 217 405 188 	
496 	3 7	3_1	 218 415 197 	
497 	3 7	3_1	 224 414 190 	
498 	3 7	3_1	 216 422 206 	
499 	3 7	3_1	 218 424 206 	
500 	3 7	3_1	 208 417 209 	
501 	3 7	3_1	 221 413 192 	
502 	3 7	3_1	 207 407 200 	
503 	3 7	3_1	 220 408 188 	
504 	3 7	3_1	 226 410 184 	
505 	3 7	3_1	 234 414 180 	
506 	3 7	3_1	 215 413 198 	
507 	3 7	3_1	 208 409 201 	
508 	3 7	3_1	 215 409 194 	
509 	3 7	3_1	 227 420 193 	
510 	3 7	3_1	 223 428 205 	
511 	3 7	3_1	 224 433 209 	
512 	3 7	3_1	 221 435 214 	
513 	3 7	3_1	 225 436 211 	
514 	3 7	3_1	 234 445 211 	
515 	3 7	3_1	 234 442 208 	
516 	3 7	3_1	 226 437 211 	
517 	3 7	3_1	 227 438 211 	
518 	3 7	3_1	 220 433 213 	
519 	3 7	3_1	 215 429 214 	
520 	3 7	3_1	 214 431 217 	
521 	3 7	3_1	 217 433 216 	
522 	3 7	3_1	 219 430 211 	
523 	3 7	3_1	 212 436 224 	
524 	3 7	3_1	 215 426 211 	
525 	3 7	3_1	 222 422 200 	
526 	3 7	3_1	 221 422 201 	
527 	3 7	3_1	 216 414 198 	
528 	3 7	3_1	 218 417 199 	
529 	3 7	3_1	 212 409 197 	
530 	3 7	3_1	 219 416 197 	
531 	3 7	3_1	 211 415 204 	
532 	3 7	3_1	 202 412 210 	
533 	3 7	3_1	 208 412 204 	
534 	3 7	3_1	 197 408 211 	
535 	3 7	3_1	 213 412 199 	
536 	3 7	3_1	 215 416 201 	
537 	3 7	3_1	 230 413 183 	
