#Timestep Max1DUnsignedWrithe ArgMax1DUnsignedWrithe Max3DLocalWrithe ArgMax3DLocalWrithe 
483 0.871335 384 5.31751 389
484 0.793923 387 4.43161 203
485 0.723352 385 5.02395 190
486 0.967721 391 4.77761 191
487 0.868821 398 4.57082 366
488 0.929546 395 5.05521 209
489 1.18827 394 4.77854 210
490 1.08758 392 5.20371 201
491 0.943877 396 4.4653 203
492 1.18316 389 4.76009 400
493 1.25914 379 4.9025 396
494 1.17658 388 4.93129 401
495 1.07333 284 4.709 385
496 1.24468 380 4.68202 402
497 1.35618 379 4.89745 405
498 1.53421 390 5.45308 411
499 1.47871 395 5.41585 420
500 1.5185 403 5.14354 417
501 1.30346 401 4.6481 386
502 1.21202 275 4.90172 229
503 1.11475 272 4.73103 229
504 1.05271 399 5.06052 386
505 1.0641 276 5.31735 391
506 0.891718 270 5.20568 394
507 1.2029 389 4.55022 365
508 0.789907 267 5.95056 398
509 1.29782 268 5.57454 402
510 1.0785 269 4.45435 372
511 0.791099 398 4.94392 410
512 1.17243 397 4.44202 372
513 1.53281 396 5.27006 374
514 1.63708 400 4.76754 376
515 1.47147 398 4.94556 373
516 1.31752 398 4.54713 370
517 1.30013 398 4.71004 372
518 1.27979 393 4.86432 409
519 1.37317 392 4.62689 412
520 1.25173 395 4.8291 407
521 1.26945 394 5.20164 411
522 1.69281 395 5.55011 381
523 1.77887 392 5.36781 413
524 1.85122 391 5.25568 413
525 1.69339 389 5.40196 408
526 1.63755 391 5.65601 398
527 1.54855 383 5.26574 394
528 1.5533 384 5.97253 394
529 1.31081 378 5.5614 389
530 1.36062 393 5.32009 390
531 1.39025 379 5.16626 405
532 1.43287 382 5.25664 393
533 1.31089 371 5.37442 392
534 1.35596 369 5.53863 393
535 1.74577 370 6.19282 393
536 1.58302 376 5.96917 396
537 1.07101 372 5.77141 397
538 1.28649 275 6.22938 397
539 1.57849 381 6.38745 402
540 1.33068 386 5.90433 400
541 1.30834 274 5.68008 400
542 1.38753 279 5.57343 399
543 1.25208 390 5.76959 396
544 1.31024 382 5.6588 397
545 1.84481 379 5.80416 398
546 1.15568 382 5.82563 407
547 1.28858 389 5.92808 398
548 1.72625 397 5.2161 374
549 1.69015 394 5.29236 390
550 1.39088 398 5.28915 222
551 1.28527 395 5.3144 226
