,Knot Type,Replica #,Correlation Fraction,Correlation Score,Representation
920,$7_1$,56,0.680462,0.986094742,Random Probability
925,$7_1$,57,0.583186,0.907086247,Random Probability
930,$7_1$,58,0.68777,0.979978772,Random Probability
935,$7_1$,59,0.763952,0.985664021,Random Probability
940,$7_1$,60,0.699082,1.015617624,Random Probability
945,$7_1$,61,0.714954,1.00006434,Random Probability
950,$7_1$,62,0.73587,0.992023048,Random Probability
955,$7_1$,63,0.745028,1.010700269,Random Probability


960,$8_{19}$,0,0.68414,1.011488877,Random Probability
965,$8_{19}$,1,0.71508,0.999888124,Random Probability
970,$8_{19}$,2,0.68735,1.04604641,Random Probability
975,$8_{19}$,3,0.707852,1.010098156,Random Probability
980,$8_{19}$,4,0.762804,0.988458372,Random Probability
985,$8_{19}$,5,0.701834,0.978863948,Random Probability
990,$8_{19}$,6,0.710368,1.005112843,Random Probability
995,$8_{19}$,7,0.729548,0.99102458,Random Probability
1000,$8_{19}$,8,0.747924,0.980046101,Random Probability
1005,$8_{19}$,9,0.71406,0.983110663,Random Probability
1010,$8_{19}$,10,0.735808,0.988029486,Random Probability
1015,$8_{19}$,11,0.693152,0.975255067,Random Probability
1020,$8_{19}$,12,0.744806,1.019057312,Random Probability
1025,$8_{19}$,13,0.60526,0.989657337,Random Probability
1030,$8_{19}$,14,0.69672,0.980307728,Random Probability
1035,$8_{19}$,15,0.692648,0.970189764,Random Probability
1040,$8_{19}$,16,0.68959,0.971591815,Random Probability
1045,$8_{19}$,17,0.705126,0.948766603,Random Probability
1050,$8_{19}$,18,0.714604,1.046733576,Random Probability
1055,$8_{19}$,19,0.687268,0.990879831,Random Probability
1060,$8_{19}$,20,0.729604,0.995060334,Random Probability
1065,$8_{19}$,21,0.718838,1.009963302,Random Probability
1070,$8_{19}$,22,0.727156,1.001160686,Random Probability
1075,$8_{19}$,23,0.720484,1.0159837,Random Probability
1080,$8_{19}$,24,0.69421,1.031388197,Random Probability
1085,$8_{19}$,25,0.724316,0.976093307,Random Probability
1090,$8_{19}$,26,0.746588,1.008588405,Random Probability
1095,$8_{19}$,27,0.65829,1.020826687,Random Probability
1100,$8_{19}$,28,0.696794,1.020387661,Random Probability
1105,$8_{19}$,29,0.71115,0.971665612,Random Probability
1110,$8_{19}$,30,0.76546,0.990254226,Random Probability
1115,$8_{19}$,31,0.658378,1.032841316,Random Probability
1120,$8_{19}$,32,0.616952,0.979006471,Random Probability
1125,$8_{19}$,33,0.756852,1.01340817,Random Probability
1130,$8_{19}$,34,0.674722,0.988555286,Random Probability
1135,$8_{19}$,35,0.735126,1.022953888,Random Probability
1140,$8_{19}$,36,0.726608,0.993658204,Random Probability
1145,$8_{19}$,37,0.713624,0.990717801,Random Probability
1150,$8_{19}$,38,0.716918,0.975006905,Random Probability
1155,$8_{19}$,39,0.71139,1.013508765,Random Probability
1160,$8_{19}$,40,0.741486,1.007436418,Random Probability
1165,$8_{19}$,41,0.734728,1.027591163,Random Probability
1170,$8_{19}$,42,0.695586,1.022159733,Random Probability
1175,$8_{19}$,43,0.75994,1.001394847,Random Probability
1180,$8_{19}$,44,0.69111,1.007075574,Random Probability
1185,$8_{19}$,45,0.725458,0.981448961,Random Probability
1190,$8_{19}$,46,0.704492,0.993623774,Random Probability
1195,$8_{19}$,47,0.679986,1.004432444,Random Probability
1200,$8_{19}$,48,0.69345,0.974835965,Random Probability
1205,$8_{19}$,49,0.688608,0.965716344,Random Probability
1210,$8_{19}$,50,0.6157,0.945265551,Random Probability
1215,$8_{19}$,51,0.713478,0.988117363,Random Probability
1220,$8_{19}$,52,0.740628,0.997801865,Random Probability
1225,$8_{19}$,53,0.702658,0.980562379,Random Probability
1230,$8_{19}$,54,0.69925,1.033964962,Random Probability
1235,$8_{19}$,55,0.697454,1.025157215,Random Probability
1240,$8_{19}$,56,0.650952,1.038479028,Random Probability
1245,$8_{19}$,57,0.672662,0.990096066,Random Probability
1250,$8_{19}$,58,0.67768,0.976862236,Random Probability
1255,$8_{19}$,59,0.709158,1.012468307,Random Probability
1260,$8_{19}$,60,0.75973,1.021415503,Random Probability
1265,$8_{19}$,61,0.70865,1.025894306,Random Probability
1270,$8_{19}$,62,0.730382,0.98989296,Random Probability
1275,$8_{19}$,63,0.70228,0.97966623,Random Probability


1,$3_1$,0,0.52,0.984904445,Local Curvature
6,$3_1$,1,0.426,1.029234115,Local Curvature
11,$3_1$,2,0.588,1.020068282,Local Curvature
16,$3_1$,3,0.447,1.023332906,Local Curvature
21,$3_1$,4,0.373,1.110879471,Local Curvature
26,$3_1$,5,0.568,1.081694604,Local Curvature
31,$3_1$,6,0.438,1.072998172,Local Curvature
36,$3_1$,7,0.592,0.994673791,Local Curvature
41,$3_1$,8,0.549,0.949104488,Local Curvature
46,$3_1$,9,0.562,1.025143374,Local Curvature
51,$3_1$,10,0.539,1.005848477,Local Curvature
56,$3_1$,11,0.497,0.994883457,Local Curvature
61,$3_1$,12,0.607,1.021070728,Local Curvature
66,$3_1$,13,0.503,0.99640265,Local Curvature
71,$3_1$,14,0.555,0.999081925,Local Curvature
76,$3_1$,15,0.55,0.937830372,Local Curvature
81,$3_1$,16,0.479,1.005947481,Local Curvature
86,$3_1$,17,0.558,0.980467954,Local Curvature
91,$3_1$,18,0.556,0.988630746,Local Curvature
96,$3_1$,19,0.541,0.980456121,Local Curvature
101,$3_1$,20,0.566,0.986537081,Local Curvature
106,$3_1$,21,0.522,1.011620065,Local Curvature
111,$3_1$,22,0.624,1.071638336,Local Curvature
116,$3_1$,23,0.611,1.00998747,Local Curvature
121,$3_1$,24,0.523,1.02026882,Local Curvature
126,$3_1$,25,0.462,1.000225159,Local Curvature
131,$3_1$,26,0.54,0.997808517,Local Curvature
136,$3_1$,27,0.574,0.997497567,Local Curvature
141,$3_1$,28,0.586,1.029743056,Local Curvature
146,$3_1$,29,0.494,1.008978685,Local Curvature
151,$3_1$,30,0.62,1.000862033,Local Curvature
156,$3_1$,31,0.6,1.0404925,Local Curvature
161,$3_1$,32,0.589,1.004639421,Local Curvature
166,$3_1$,33,0.485,0.979596124,Local Curvature
171,$3_1$,34,0.516,0.913387499,Local Curvature
176,$3_1$,35,0.537,1.056974259,Local Curvature
181,$3_1$,36,0.568,0.986974714,Local Curvature
186,$3_1$,37,0.531,0.991574419,Local Curvature
191,$3_1$,38,0.608,0.998922216,Local Curvature
196,$3_1$,39,0.515,0.940924554,Local Curvature
201,$3_1$,40,0.486,0.999444753,Local Curvature
206,$3_1$,41,0.466,0.996292765,Local Curvature
211,$3_1$,42,0.537,1.00817807,Local Curvature
216,$3_1$,43,0.536,1.006973668,Local Curvature
221,$3_1$,44,0.537,0.993153345,Local Curvature
226,$3_1$,45,0.596,1.036161335,Local Curvature
231,$3_1$,46,0.569,1.03774927,Local Curvature
236,$3_1$,47,0.547,0.982194801,Local Curvature
241,$3_1$,48,0.605,1.008975715,Local Curvature
246,$3_1$,49,0.544,1.026024044,Local Curvature
251,$3_1$,50,0.508,1.03356229,Local Curvature
256,$3_1$,51,0.56,0.996072628,Local Curvature
261,$3_1$,52,0.52,1.010831448,Local Curvature
266,$3_1$,53,0.438,0.97340688,Local Curvature
271,$3_1$,54,0.44,1.089804875,Local Curvature
276,$3_1$,55,0.575,1.017882874,Local Curvature
281,$3_1$,56,0.437,1.02490736,Local Curvature
286,$3_1$,57,0.456,0.967544813,Local Curvature
291,$3_1$,58,0.557,1.0033975,Local Curvature
296,$3_1$,59,0.504,1.013346416,Local Curvature
301,$3_1$,60,0.475,1.016786612,Local Curvature
306,$3_1$,61,0.644,1.044440624,Local Curvature
311,$3_1$,62,0.39,1.087823628,Local Curvature
316,$3_1$,63,0.519,0.982690261,Local Curvature


321,$5_1$,0,0.709,1.071919931,Local Curvature
326,$5_1$,1,0.64,1.010703987,Local Curvature
331,$5_1$,2,0.669,1.054792447,Local Curvature
336,$5_1$,3,0.692,1.024544655,Local Curvature
341,$5_1$,4,0.569,1.020313016,Local Curvature
346,$5_1$,5,0.58,1.028989107,Local Curvature
351,$5_1$,6,0.669,1.003528099,Local Curvature
356,$5_1$,7,0.755,1.029628761,Local Curvature
361,$5_1$,8,0.688,0.995684403,Local Curvature
366,$5_1$,9,0.605,1.037212795,Local Curvature
371,$5_1$,10,0.651,1.043921682,Local Curvature
376,$5_1$,11,0.675,0.970379699,Local Curvature
381,$5_1$,12,0.614,1.07365557,Local Curvature
386,$5_1$,13,0.61,1.026365824,Local Curvature
391,$5_1$,14,0.72,1.009741198,Local Curvature
396,$5_1$,15,0.674,1.010173678,Local Curvature
401,$5_1$,16,0.669,1.014509457,Local Curvature
406,$5_1$,17,0.57,0.999670284,Local Curvature
411,$5_1$,18,0.624,1.02406554,Local Curvature
416,$5_1$,19,0.683,1.004701355,Local Curvature
421,$5_1$,20,0.687,1.035284048,Local Curvature
426,$5_1$,21,0.677,1.019630523,Local Curvature
431,$5_1$,22,0.728,1.007238837,Local Curvature
436,$5_1$,23,0.617,0.976846985,Local Curvature
441,$5_1$,24,0.639,0.980082394,Local Curvature
446,$5_1$,25,0.689,0.973243571,Local Curvature
451,$5_1$,26,0.681,1.090881131,Local Curvature
456,$5_1$,27,0.714,1.009666782,Local Curvature
461,$5_1$,28,0.725,1.004636571,Local Curvature
466,$5_1$,29,0.629,0.976553403,Local Curvature
471,$5_1$,30,0.532,0.980699394,Local Curvature
476,$5_1$,31,0.558,1.002605336,Local Curvature
481,$5_1$,32,0.611,1.048746996,Local Curvature
486,$5_1$,33,0.654,1.02003893,Local Curvature
491,$5_1$,34,0.702,1.049681955,Local Curvature
496,$5_1$,35,0.625,1.023117546,Local Curvature
501,$5_1$,36,0.571,0.99031881,Local Curvature
